1:1:1	الٓمٓصٓ	P	INL|
19:1:3	ـَٔادَمُ	N	PN|ROOT:أدم|LEM:آدَم|M|NOM
19:2:1	ٱسْكُنْ	V	IMPV|VF:1|ROOT:سكن|LEM:سَكَنَ|2MS
19:3:1	أَنتَ	N	PRON|2MS
19:4:1	وَ	P	CONJ|PREF|LEM:و
19:4:2	زَوْجُ	N	ROOT:زوج|LEM:زَوْج|M|NOM
19:4:3	كَ	N	PRON|SUFF|2MS
19:5:1	ٱلْ	P	DET|PREF|LEM:ال
19:5:2	جَنَّةَ	N	PN|ROOT:جنن|LEM:جَنَّة|F|ACC
19:6:1	فَ	P	CONJ|PREF|LEM:ف
19:6:2	كُلَ	V	IMPV|VF:1|ROOT:أكل|LEM:أَكَلَ|2MD
19:6:3	ا	N	PRON|SUFF|2D
19:7:1	مِنْ	P	P|LEM:مِن
19:8:1	حَيْثُ	N	LOC|ROOT:حيث|LEM:حَيْث|GEN
19:9:1	شِئْ	V	PERF|VF:1|ROOT:شيأ|LEM:شاءَ|2D
19:9:2	تُمَا	N	PRON|SUFF|2D
19:10:1	وَ	P	CONJ|PREF|LEM:و
19:10:2	لَا	P	PRO|LEM:لا
19:11:1	تَقْرَبَ	V	IMPF|VF:1|ROOT:قرب|LEM:يَقْرَبُ|2D|MOOD:JUS
19:11:2	ا	N	PRON|SUFF|2D
19:12:1	هَٰ	P	ATT|PREF|LEM:ه
19:12:2	ذِهِ	N	DEM|LEM:ذا|FS
19:13:1	ٱل	P	DET|PREF|LEM:ال
19:13:2	شَّجَرَةَ	N	ROOT:شجر|LEM:شَجَرَة|F|ACC
19:14:1	فَ	P	CAUS|PREF|LEM:ف
19:14:2	تَكُونَ	V	IMPF|VF:1|ROOT:كون|LEM:كانَ|FAM:كَان|2D|MOOD:SUBJ
19:14:3	ا	N	PRON|SUFF|2D
19:15:1	مِنَ	P	P|LEM:مِن
19:16:1	ٱل	P	DET|PREF|LEM:ال
19:16:2	ظَّٰلِمِينَ	N	ACT_PCPL|VF:1|ROOT:ظلم|LEM:ظالِم|MP|GEN
20:1:1	فَ	P	REM|PREF|LEM:ف
20:1:2	وَسْوَسَ	V	PERF|VF:1|ROOT:وسوس|LEM:وَسْوَسَ|3MS
20:2:1	لَ	P	P|PREF|LEM:ل
20:2:2	هُمَا	N	PRON|3D
20:3:1	ٱل	P	DET|PREF|LEM:ال
20:3:2	شَّيْطَٰنُ	N	PN|ROOT:شطن|LEM:شَيْطان|M|NOM
20:4:1	لِ	P	PRP|PREF|LEM:ل
20:4:2	يُبْدِىَ	V	IMPF|VF:4|ROOT:بدو|LEM:يُبْدِيَ|3MS|MOOD:SUBJ
20:5:1	لَ	P	P|PREF|LEM:ل
20:5:2	هُمَا	N	PRON|3D
20:6:1	مَا	N	REL|LEM:ما
20:7:1	وُۥرِىَ	V	PERF|VF:3|PASS|ROOT:وري|LEM:وُۥرِيَ|3MS
20:8:1	عَنْ	P	P|LEM:عَن
20:8:2	هُمَا	N	PRON|SUFF|3D
20:9:1	مِن	P	P|LEM:مِن
20:10:1	سَوْءَٰتِ	N	ROOT:سوأ|LEM:سَوْءَة|FP|GEN
20:10:2	هِمَا	N	PRON|SUFF|3D
20:11:1	وَ	P	CONJ|PREF|LEM:و
20:11:2	قَالَ	V	PERF|VF:1|ROOT:قول|LEM:قالَ|3MS
20:12:1	مَا	P	NEG|LEM:ما
20:13:1	نَهَىٰ	V	PERF|VF:1|ROOT:نهي|LEM:نَهَى|3MS
20:13:2	كُمَا	N	PRON|SUFF|2D
